threads, checkpoint(s), execution(s), latency(%)
1 , 2.0666749477386475 , 3.4229493141174316 , 60.37702455058164
1 , 2.0290591716766357 , 3.361294984817505 , 60.36540026512429
1 , 1.9883575439453125 , 3.299800395965576 , 60.25690361078602
1 , 1.987170934677124 , 3.295255422592163 , 60.30400317538802
1 , 2.028815269470215 , 3.4035141468048096 , 59.6094266678706
1 , 1.9388964176177979 , 3.2150373458862305 , 60.30711960776113
4 , 2.160382390022278 , 6.3043447732925415 , 34.26815105630692
4 , 2.3167471289634705 , 5.716632783412933 , 40.52642904903069
4 , 2.3159059286117554 , 4.821936309337616 , 48.02854662611437
4 , 2.2876002192497253 , 6.650487840175629 , 34.39747991764336
4 , 2.3031975626945496 , 4.7983516454696655 , 47.999766021089755
4 , 2.214772641658783 , 6.558636724948883 , 33.768795780895225
8 , 2.7900524735450745 , 6.47068652510643 , 43.11833779490939
8 , 2.8868025839328766 , 5.968358099460602 , 48.36845470438135
8 , 2.8556649684906006 , 5.3748137056827545 , 53.13049204796299
8 , 2.907590836286545 , 6.55362606048584 , 44.36613882835721
8 , 2.880991518497467 , 6.5831703543663025 , 43.76297989291197
8 , 2.710729628801346 , 6.283534616231918 , 43.140203633140864
12 , 2.941211700439453 , 6.625319063663483 , 44.3935102925157
12 , 3.3619452516237893 , 7.17273086309433 , 46.87120311347413
12 , 3.0509549379348755 , 7.723335882027944 , 39.50307204733113
12 , 3.05611914396286 , 7.2581968903541565 , 42.10576249349637
12 , 3.0243925054868064 , 6.962746759255727 , 43.43677301585638
12 , 2.8454242944717407 , 8.145483076572418 , 34.932541971090586
16 , 3.218623861670494 , 9.524605825543404 , 33.79272508095487
16 , 3.6162057518959045 , 8.946414574980736 , 40.42072633218757
16 , 3.407539129257202 , 9.527572363615036 , 35.765030158892266
16 , 3.2148231714963913 , 8.424015536904335 , 38.16259784199991
16 , 3.5036722123622894 , 7.769831195473671 , 45.09328612445738
16 , 4.1299305856227875 , 9.859657794237137 , 41.88715949185059
20 , 3.5766013741493223 , 8.792205107212066 , 40.679230415308545
20 , 3.757570266723633 , 10.07467178106308 , 37.29719784803881
20 , 4.25477774143219 , 9.418646681308747 , 45.173981840467306
20 , 3.8623125195503234 , 9.676679360866547 , 39.913614738232404
20 , 3.8306071400642394 , 10.126664483547211 , 37.826938438494
20 , 4.4264195442199705 , 11.684217834472657 , 37.88374717869806
24 , 4.372430831193924 , 10.24962188800176 , 42.659435430611396
24 , 5.067199220259984 , 10.806439677874247 , 46.890552034773044
24 , 4.479462285836537 , 12.110422223806381 , 36.98848977396442
24 , 5.663537303606669 , 12.891367932160696 , 43.932787687159085
24 , 5.926309208075206 , 13.181603590647379 , 44.95893968682266
24 , 4.949264824390411 , 14.115936189889908 , 35.06154149333124
