threads,sum,avg,per_thread
1,366,366.0,"[366]"
1,376,376.0,"[376]"
1,385,385.0,"[385]"
1,364,364.0,"[364]"
4,611,152.75,"[157, 152, 147, 155]"
4,644,161.0,"[158, 158, 163, 165]"
4,578,144.5,"[145, 145, 146, 142]"
4,606,151.5,"[152, 141, 157, 156]"
8,986,123.25,"[127, 123, 121, 123, 118, 123, 126, 125]"
8,980,122.5,"[123, 121, 124, 118, 117, 126, 124, 127]"
8,907,113.375,"[112, 109, 115, 110, 114, 111, 119, 117]"
8,910,113.75,"[112, 121, 118, 114, 109, 111, 109, 116]"
12,1245,103.75,"[97, 101, 101, 104, 106, 104, 107, 109, 111, 105, 104, 96]"
12,1232,102.66666666666667,"[100, 98, 105, 108, 99, 107, 102, 98, 107, 106, 106, 96]"
12,1155,96.25,"[101, 103, 93, 96, 97, 96, 94, 87, 98, 97, 97, 96]"
12,1170,97.5,"[94, 103, 98, 95, 101, 100, 96, 104, 92, 95, 98, 94]"
16,1374,85.875,"[86, 83, 87, 84, 83, 88, 88, 86, 84, 89, 82, 86, 86, 84, 88, 90]"
16,1321,82.5625,"[81, 84, 82, 85, 82, 84, 83, 83, 83, 79, 80, 88, 80, 80, 79, 88]"
16,1339,83.6875,"[87, 94, 84, 90, 79, 83, 81, 85, 84, 83, 74, 84, 86, 77, 85, 83]"
16,1388,86.75,"[87, 87, 86, 84, 87, 91, 81, 91, 86, 85, 86, 85, 88, 84, 92, 88]"
20,1407,70.35,"[73, 62, 67, 71, 70, 70, 72, 70, 71, 72, 72, 72, 71, 77, 68, 67, 71, 67, 74, 70]"
20,1593,79.65,"[82, 83, 78, 80, 84, 77, 78, 80, 77, 84, 77, 79, 75, 81, 79, 83, 80, 79, 78, 79]"
20,1580,79.0,"[80, 81, 83, 80, 80, 88, 81, 75, 81, 78, 73, 79, 76, 80, 85, 74, 78, 75, 73, 80]"
20,1541,77.05,"[82, 79, 77, 74, 82, 77, 78, 77, 74, 75, 74, 79, 80, 73, 72, 83, 74, 83, 72, 76]"
24,1679,69.95833333333333,"[77, 64, 71, 75, 66, 67, 71, 71, 74, 72, 69, 69, 67, 69, 67, 66, 68, 65, 72, 73, 71, 69, 71, 75]"
24,1240,51.666666666666664,"[49, 52, 52, 49, 51, 50, 51, 57, 57, 47, 52, 52, 52, 54, 53, 52, 52, 47, 53, 53, 55, 52, 51, 47]"
24,1589,66.20833333333333,"[62, 64, 66, 68, 66, 70, 65, 69, 64, 71, 66, 68, 66, 62, 76, 63, 60, 66, 70, 62, 67, 70, 59, 69]"
24,1243,51.791666666666664,"[54, 53, 51, 54, 54, 51, 51, 51, 49, 53, 49, 52, 54, 54, 55, 50, 48, 54, 53, 50, 53, 47, 52, 51]"
